,Title,Poet,Poem
0,Rain on a Barn South of Tawas,William Jolliff,"It may be as close as an old man in Michigan
comes to the sound of the sea. Call it thunder
if you want, but it’s not thunder, not at all.
It’s more like the rush of semis on a freeway

somewhere between Bay City and Flint,
the road a son will take when he learns,
sometime around the last taste of a strap,
that the life he was born to is nothing

at all like a life he’d ever bother to live.
There’s an anger in it, a tin-edged constancy
that has no rhythm, quite, something more
like white noise that still won’t let you sleep.

Think of some man, needing to get a crop in,
but the fields are sop, so he’s trying to find
something to fix, something to keep his hands
working, something to weld, something to pound,

something to wrap his calloused palms around
that might do less damage than a lead-rope
knotted and tossed over the limb of a tree.
If you ever decide to lose your years

by working this land, you might think again,
about the barn you build, or roofing it with tin."
1,Raising the Titanic,Robert Hedin,"I spent the winter my father died down in the basement,
under the calm surface of the floorboards, hundreds

of little plastic parts spread out like debris
on the table. And for months while the snow fell

and my father sat in the big chair by the Philco, dying,
I worked my way up deck by deck, story by story,

from steerage to first class, until at last it was done,
stacks, deck chairs, all the delicate rigging.

And there it loomed, a blazing city of the dead.
Then painted the gaping hole at the waterline

and placed my father at the railings, my mother
in a lifeboat pulling away from the wreckage."
2,Releasing a Tree,Thomas Reiter,"Softly pummeled overnight, the lower
limbs of our Norway spruce
flexed and the deepening snow held them.
Windless sunlight now, so I go out
wearing hip waders and carrying
not a fly rod but a garden hoe. I begin
worrying the snow for the holdfast
of a branch that’s so far down
a wren’s nest floats above it like a buoy.
I work the hoe, not chopping but cradling,
then pull straight up. A current of air
as the needles loft their burden
over my head. Those grace notes
of the snowfall, crystals giving off
copper, green, rose—watching them
I stumble over a branch, go down
and my gloves fill with snow. Ah, I find
my father here: I remember as a child
how flames touched my hand the time
I added wood to the stove in our ice-fishing
shanty, how he plunged that hand
through the hole into the river, teaching me
one kind of burning can ease another.
The branch bobs then tapers into place
and composes itself, looking
unchanged though all summer
it will bring up this day from underfoot."
3,Relic,Rachel Richardson,"The first time I touched it,
cloth fell under my fingers,
the frail white folds
softened, demure. No burn,

no combustion at the touch of skin.
It sat, silent, like any other contents
of any other box: photographs
of the dead, heirloom jewels.

Exposed to thin windowlight it is
exactly as in movies:
a long gown, and where a chest
must have breathed, a red cross

crossed over. The crown, I know,
waits underneath, the hood with eyes
carefully stitched open, arch cap
like a bishop’s, surging to its point."
4,Removing the Dross,Thomas R. Moore,"After snowstorms my father
shoveled the driveway where it lay
open to a sweep of wind across

a neighbor’s field, where the snow
drifted half way down to the paved
road, before snow-blowers, before

pick-ups cruised the streets with
THE BOSS lettered on red plows.
He heated the flat shovel

in the woodstove till the blade
steamed, like Vulcan at his furnace
removing the dross, then rubbed

a hissing candle on the steel
so the snow would slide unchecked
as he made each toss. He marked

blocks with the waxed blade, lifted
and tossed, lifted and tossed again,
squaring off against the snow."
5,The Ring Toss Lady Breaks a Five,Mark Kraushaar,"It’s all of it rigged, she says,
Bust-one-wins, Hi-striker, even the Dozer.
It’s like you think you’ll score that giant panda
for the wife except you can’t, or not
without you drop another twenty
and then—what?—then you win
a thumb-sized monkey or a little comb.
She hands me five ones and then stands.
She’s worked the whole of the midway,
she says, funnel cake to corn-dogs.
She’s worked every game
plus half the rides, Krazy Koaster,
Avalanche, Wing-Ding, Tilt-a-Whirl
and if there’s somebody sick she’ll do
a kiddy ride too, Li’l Choo-choo, maybe
the Tea Cup.
There’s a collapsing soft sigh
and she sits, opens the paper, turns a page
and as if she were the one assigned to face forwards,
as if it were her job to intuit the world
and interpret the news,
Anymore, she says, it’s out of our hands,
it’s all we can do—it’s not up to you.
You see that bald bronco tearing
tickets at the carousel?
We worked the Bottle-drop
and now he’s mine: he’s no genius
but he loves me and he’s mine.
Things happen, she says, you
can’t take them back."
6,Seed,Kathleen Driskell,"In first grade, you met Squanto,
nearly naked and
on his haunches, showing
those thick-headed pilgrims
how one must plant fish
to grow maize. And in autumn
you dove into the lobotomized
pumpkin, into the gooey pulp
and seeds, raising a clump
like a slimy chandelier
from the Titanic. And now
in late summer, daughter,
you smile, holding a ripe watermelon,
cut in half, exposing the black
seed within its bright red heart.
Your melon. How proud you are
to think you grew this delicious
thing all on your own."
7,Sixth Grade,Jeanie Greensfelder,"We didn’t like each other,
but Lynn’s mother had died,
and my father had died.

Lynn’s father didn’t know how to talk to her,
my mother didn’t know how to talk to me,
and Lynn and I didn’t know how to talk either.

A secret game drew us close:
we took turns being the prisoner,
who stood, hands held behind her back,

while the captor, using an imaginary bow,
shot arrow after arrow after arrow
into the prisoner’s heart."
8,"Sixty Years Later I Notice, Inside A Flock Of Blackbirds,",David Allan Evans,"the Venetian blinds
I dusted off

for my mother on
Saturday mornings,

closing, opening them
with the pull cord a few

times just to watch the outside
universe keep blinking,

as the flock suddenly
rises from November stubble,

hovers a few seconds,
closing, opening,

blinking, before it tilts,
then vanishes over a hill."
9,Spirit of the Bat,Peggy Shumaker,"Hair rush, low swoop—
so those of us

stuck here on earth
know—you must be gods.

Or friends of gods,
granted chances

to push off into sky,
granted chances

to hear so well
your own voice bounced

back to you
maps the night.

Each hinge
in your wing’s

an act of creation.
Each insect

you snick out of air
a witness.

You transform
obstacles

into sounds,
then dodge them."
10,A Story Can Change Your Life,Peter Everwine,"On the morning she became a young widow,
my grandmother, startled by a sudden shadow,
looked up from her work to see a hawk turn
her prized rooster into a cloud of feathers.
That same moment, halfway around the world
in a Minnesota mine, her husband died,
buried under a ton of rockfall.
She told me this story sixty years ago.
I don’t know if it’s true but it ought to be.
She was a hard old woman, and though she knelt
on Sundays when the acolyte’s silver bell
announced the moment of Christ’s miracle,
it was the darker mysteries she lived by:
shiver-cry of an owl, black dog by the roadside,
a tapping at the door and nobody there.
The moral of the story was plain enough:
miracles become a burden and require a priest
to explain them. With signs, you only need
to keep your wits about you and place your trust
in a shadow world that lets you know hard luck
and grief are coming your way. And for that
—so the story goes—any day will do."
