,Title,Poet,Poem
580,Very Strong February,Bernadette Mayer,"A man and a woman pretend to be white ice
Three men at the lavender door are closed in by the storm
With strong prejudice and money to buy the green pines
One weekend fisherman and blue painters watch
The vivid violet winds blow visibility from the mountain
Beyond the black valley. That means or then you know
You’re in a big cloud of it, it’s brilliant white mid-February
A week or two left on distracting black trees
Before the brownish buds obscure your view of the valley again.

Looking for company four dark men and a burnt sienna woman
Come in for three minutes, then bye-bye like a gold watch left on the
                  chair
Or part of the sum of what big white families think up
To store for long yellow Sundays to eat for brown ecological
                  company.
At some point later gorgeous red adventure stops, did you forget
To turn it down and laugh in the face of the fearful white storm
                  anyway
Or picture it brilliant blue for a further Sunday memory
In a coloring book, you talk as lightly as you can
Refusing a big pink kiss, you burned the Sunday sauce
Of crushed red tomatoes, you turn it down to just an orange glow.
This particular storm, considering the pause and the greenish thaw before it
Reminds me in its mildness of imitating a sea-green memory that is
                  actually
In the future, I imitate an imagined trumpet sound
Or the brilliant purple words of a man or woman I haven’t met yet
Or perhaps it’s a grey-haired man I already know who said some-
                  thing yesterday
To a mutual friend who will give me the whole story in black and
                  white tomorrow
Or the day after, just as the big orange plows for the local businesses
Go to work to push away the rest of the white snow that will fall
                  tonight."
581,Vesper Sparrows,Deborah Digges,"I love to watch them sheathe themselves mid-air,
shut wings and ride the light’s poor spine

to earth, to touch down in gutters, in the rainbowed
urine of suicides, just outside Bellevue’s walls.

From in there the ransacked cadavers are carried
up the East River to Potter’s Field

as if they were an inheritance,
gleaned of saveable parts,

their diseases jarred and labeled, or incinerated,
the ashes of metastisized vision

professing the virus that lives beyond the flesh
in air ...

               
               The first time I saw the inside of anything
alive, a downed bird opened cleanly

under my heel. I knelt
to watch the spectral innards shine and quicken,

the heart-whir magnify.
And though I can’t say now what kind of bird it was,

nor the season, spring or autumn, what
dangerous transition,

I have identified so many times that sudden
earnest spasm of the throat in children,

or in the jaundiced faces of the dying,
the lower eye-lids straining upward.

Fear needs its metaphors.
I’ve read small helplessnesses make us maternal.

Even the sparrows feel it,
nesting this evening in traffic lights.

They must have remembered, long enough to mate,
woods they’ve never seen,

but woods inbred up the long light of instinct,
the streaked siennas of a forest floor

born now into the city,
the oak umbers, and the white tuft

of tail feathers like a milkweed meadow
in which their song, as Burroughs heard it,

could be distinguished:
 come-come-where-where-all-together-

down-the-hill ...
here, where every history is forfeited,

where the same names of the different dead greet
each other and commingle

above the hospital’s heaps of garbage.
From the ward windows, fingerprinted,

from the iron-grated ledges,
hundreds flock down for the last feed of the day

and carry off into the charitable dusk what
cannot be digested."
582,"Vespers [In your extended absence, you permit me]",Louise Glück,"In your extended absence, you permit me
use of earth, anticipating
some return on investment. I must report
failure in my assignment, principally
regarding the tomato plants.
I think I should not be encouraged to grow
tomatoes. Or, if I am, you should withhold
the heavy rains, the cold nights that come
so often here, while other regions get
twelve weeks of summer. All this
belongs to you: on the other hand,
I planted the seeds, I watched the first shoots
like wings tearing the soil, and it was my heart
broken by the blight, the black spot so quickly
multiplying in the rows. I doubt
you have a heart, in our understanding of
that term. You who do not discriminate
between the dead and the living, who are, in consequence,
immune to foreshadowing, you may not know
how much terror we bear, the spotted leaf,
the red leaves of the maple falling
even in August, in early darkness: I am responsible
for these vines."
583,"Vespers [""Once I believed in you...""]",Louise Glück,"Once I believed in you; I planted a fig tree.
Here, in Vermont, country
of no summer. It was a test: if the tree lived,
it would mean you existed.

By this logic, you do not exist. Or you exist
exclusively in warmer climates,
in fervent Sicily and Mexico and California,
where are grown the unimaginable
apricot and fragile peach. Perhaps
they see your face in Sicily; here we barely see
the hem of your garment. I have to discipline myself
to share with John and Noah the tomato crop.

If there is justice in some other world, those
like myself, whom nature forces
into lives of abstinence, should get
the lion's share of all things, all
objects of hunger, greed being
praise of you. And no one praises
more intensely than I, with more
painfully checked desire, or more deserves
to sit at your right hand, if it exists, partaking
of the perishable, the immortal fig,
which does not travel."
584,Vessel,Tom Sleigh,"Branching the way blind fingers splay across
The face they’re reading, trees trace the backyard
Ditch sop that their shadows drop off into
Space,
           an abyss where I hear a neighbor boy’s
Voice cursing an exhilarated, out of its mind,

          Unappeasably inventive flow of
“Fuck fuck motherfuck” ecstasy that maybe
He imagines the neighborhood can't hear?—
                                                               or is his tongue wired
To some source of inspired but as yet unknown
Intelligence that radiates from all of us and he

          Is its mouthpiece, speaking it to the trees
That screen him from me listening to his
Unrelenting arias, predestined like birdsong
Flowing unbidden, of four-letter almost
Erotic keening over something I know too,

          Everybody knows?—
                                       and even if all it is
Is the “fuck fuck motherfuck” ecstasy
Of April budding in his mouth and sending down
Roots to some anti-self that sprouts and shadows
Him as it croons and shouts the song of its difference—

          Even then, this Billy whom I don’t think twice about
When we meet in the alley and slap palms
Or I see him playing alone on the swings of big kids’ slide,
Even then is he the vessel
                                          of some signal that uses us,
Down in the abyss irradiating him so that just this instant

          Whatever that other uses him for he can’t resist:
His voice an instrument of blissed-out torment
Until that grip flings him loose—
Who knows which of us it chooses to penetrate
Next, making us suddenly sweat or shiver,

That influence bathing everything budding
                                                             in profane rays."
585,Vestibule,Chase Twichell,"What etiquette holds us back
from more intimate speech,
especially now, at the end of the world?
Can’t we begin a conversation
here in the vestibule,
then gradually move it inside?
What holds us back
from saying things outright?
We’ve killed the earth.
Yet we speak of other things.
Our words should cauterize
all wounds to the truth."
586,Veteran’s Hospital,Ben Belitt,"(White River Junction, Vermont)

Bringing “only what is needed—essential
toilet articles” in a paper bag,
dressed as for dying, one sees the dying plainly.
These are the homecomings of Agamemnon,
the odysseys to the underside of the web
that weaves and unweaves while the suitors gorge upon plenty
and the languishing sons at home unwish their warring
fathers with strong electric fingers.

The fathers are failing.

In the Hospital Exchange, one sees the dying plainly:
color televisions, beach towels, automatic razors—
the hardware of the affluent society marked
down to cost, to match the negative afflatus
of the ailing, the bandages and badges of their status.
Under the sandbags, rubber hoses, pipettes, bed-clamps,
tax-exempt, amenable as rabbits,
the unenlisted men are bleeding through their noses
in a perimeter of ramps and apparatus.

In that prosthetic world, the Solarium
lights up a junk-pile of used parts: the hip that caught
a ricochet of shrapnel; tattoos in curing meats;
scars like fizzled fuses; canceled postage stamps;
automated claws in candy; the Laser’s edge; and barium.
The nurses pass like mowers, dressing and
undressing in the razor-sharp incisions
and the flowering phosphorescence. The smell
of rubbing alcohol rises on desertions and deprivals
and divorces. It is incorruptible. A wheelchair aims
its hospital pajamas like a gun-emplacement.

The amputee is swinging in his aviary.
His fingers walk the bird-bars.

There is singing
from the ward room—a buzzing of transistors
like blueflies in a urinal. War over war,
the expendables of Metz and Chateau-Thierry,
the guerillas of Bien Hoa and Korea,
the draftees, the Reserves, the re-enlisters,
open a common wavelength.
The catatonic
sons are revving up their combos in the era
of the angry adolescent. Their cry is electronic.
Their thumbs are armed with picks. The acid-rock guitarist
in metal studs and chevrons, bombed with magnesium,
mourns like a country yokel, and the innocents
are slaughtered.

On the terrace, there are juices
and bananas. The convalescent listens to his
heartbeat. The chaplain and his non-combative daughter
smile by the clubbed plants on the portico.

 “They shall overcome.”"
587,Vetiver,John Ashbery,"Ages passed slowly, like a load of hay,
As the flowers recited their lines
And pike stirred at the bottom of the pond.
The pen was cool to the touch.
The staircase swept upward
Through fragmented garlands, keeping the melancholy
Already distilled in letters of the alphabet.

It would be time for winter now, its spun-sugar
Palaces and also lines of care
At the mouth, pink smudges on the forehead and cheeks,
The color once known as “ashes of roses.”
How many snakes and lizards shed their skins
For time to be passing on like this,
Sinking deeper in the sand as it wound toward
The conclusion. It had all been working so well and now,
Well, it just kind of came apart in the hand
As a change is voiced, sharp
As a fishhook in the throat, and decorative tears flowed
Past us into a basin called infinity.

There was no charge for anything, the gates
Had been left open intentionally.
Don’t follow, you can have whatever it is.
And in some room someone examines his youth,
Finds it dry and hollow, porous to the touch.
O keep me with you, unless the outdoors
Embraces both of us, unites us, unless
The birdcatchers put away their twigs,
The fishermen haul in their sleek empty nets
And others become part of the immense crowd
Around this bonfire, a situation
That has come to mean us to us, and the crying
In the leaves is saved, the last silver drops."
588,VI Mon. August [1742] hath xxxi days.,Benjamin Franklin,"The Busy-Man's Picture

BUSINESS, thou Plague and Pleasure of my Life, 
Thou charming Mistress, thou vexatious Wife; 
Thou Enemy, thou Friend, to Joy, to Grief, 
Thou bring’st me all, and bring’st me no Relief, 
Thou bitter, sweet, thou pleasing, teazing Thing, 
Thou Bee, that with thy Honey wears a Sting; 
Some Respite, prithee do, yet do not give, 
I cannot with thee, nor without thee live."
589,Victims of the Latest Dance Craze,Cornelius Eady,"The streamers choking the main arteries
Of downtown.
The brass band led by a child
From the home for the handicapped.
The old men
Showing their hair (what’s left of it),
The buttons of their shirts Popping in time
To the salsa flooding out
Of their portable headphones,

And mothers letting their babies
Be held by strangers.
And the bus drivers
Taping over their fare boxes
And willing to give directions.

Is there any reason to mention
All the drinks are on the house?
Thick, adolescent boys
Dismantle their BB guns.
Here is the world (what’s left of it),
In brilliant motion,
The oil slick at the curb
Danced into a thousand
Splintered steps.
The bag ladies toss off their
Garments
To reveal wings.

“This dance you do,” drawls the cop,
“What do you call it?”
We call it scalding the air.
We call it dying with your
Shoes on.

And across the street
The bodies of tramps
Stumble
In a sober language.

And across the street
Shy young girls step behind
Their nameless boyfriends,
Twirling their skirts.

And under an archway
A delivery boy discovers
His body has learned to speak,
And what does this street look like
If not a runway,
A polished wood floor?

From the air,
Insects drawn by the sweat
Alight, when possible,
On the blur
Of torsos.
It is the ride
Of their tiny lives.
The wind that burns their wings,
The heaving, oblivious flesh,
Mountains stuffed with panic,
An ocean
That can’t make up its mind.
They drop away
With the scorched taste
Of vertigo.

And under a swinging light bulb
Some children
Invent a game
With the shadow the bulb makes,
And the beat of their hearts.
They call it dust in the mouth.
They call it horse with no rider.
They call it school with empty books.

In the next room
Their mother throws her dress away to chance.
It drops to the floor
Like a brush sighs across a drum head,
And when she takes her lover,
What are they thinking of
If not a ballroom filled with mirrors,
A world where no one has the right
To stumble?

In a parking lot
An old man says this:
“I am a ghost dance.
I remember the way my hair felt,
Damp with sweat and wind.

When the wind kisses the leaves, I am dancing.
When the subway hits the third rail, I am dancing.
When the barrel goes over Niagara Falls, I am dancing.
Music rings my bones like metal.

O, Jazz has come from heaven,” he says,
And at the z he jumps, arcing his back like a heron’s neck,
And stands suddenly revealed
As a balance demon,
A home for
Stetson hats.

We have all caught the itch:
The neon artist
Wiring up his legs,
The tourist couple
Recording the twist on their
Instamatic camera,
And in a factory,
A janitor asks his broom
For a waltz,
And he grasps it like a woman
He’d have to live another
Life to meet,
And he spins around the dust bin
And machines and thinks:
 Is everybody happy?
And he spins out the side door,
Avoiding the cracks in the sidewalk,
Grinning as if he’d just received
The deepest kiss in the world."
590,The Victor Dog,James Merrill,"for Elizabeth Bishop

Bix to Buxtehude to Boulez.
The little white dog on the Victor label
Listens long and hard as he is able.
It’s all in a day’s work, whatever plays.

From judgment, it would seem, he has refrained.   
He even listens earnestly to Bloch,
Then builds a church upon our acid rock.
He’s man’s—no—he’s the Leiermann’s best friend,   

Or would be if hearing and listening were the same.   
 Does he hear? I fancy he rather smells
Those lemon-gold arpeggios in Ravel’s
“Les jets d’eau du palais de ceux qui s’aiment.”

He ponders the Schumann Concerto’s tall willow hit   
By lightning, and stays put. When he surmises   
Through one of Bach’s eternal boxwood mazes   
The oboe pungent as a bitch in heat,

Or when the calypso decants its raw bay rum
Or the moon in Wozzeck reddens ripe for murder,   
He doesn’t sneeze or howl; just listens harder.   
Adamant needles bear down on him from

Whirling of outer space, too black, too near—
But he was taught as a puppy not to flinch,   
Much less to imitate his bête noire Blanche   
Who barked, fat foolish creature, at King Lear.

Still others fought in the road’s filth over Jezebel,   
Slavered on hearths of horned and pelted barons.   
His forebears lacked, to say the least, forbearance.   
Can nature change in him? Nothing’s impossible.

The last chord fades. The night is cold and fine.
His master’s voice rasps through the grooves’ bare groves.   
Obediently, in silence like the grave’s
He sleeps there on the still-warm gramophone

Only to dream he is at the première of a Handel   
Opera long thought lost—Il Cane Minore.
Its allegorical subject is his story!
A little dog revolving round a spindle

Gives rise to harmonies beyond belief,
A cast of stars . . . Is there in Victor’s heart   
No honey for the vanquished? Art is art.   
The life it asks of us is a dog’s life."
591,Vietnam,Michael Collier,"The shape of it bending like an eel
or disfigured quarter moon, pink and green
and brown, like a rainbow trout. The wall

along my bed covered with the map I cut
from the newspaper, and next to it the fishing
calendar from Abonauder’s Texaco. The square

cages of days with their numerals and effigies
of moon and fish shaded to indicate the shape
of the moon, the hunger of the fish.

The white bread stripped of its crust, dampened,
then dusted with flour, compressed into a tight ball,
wrapped in foil and chilled all night.

A piece of it pressed and shaped on the tip
of an Eagle Claw hook, then lowered into the nesting holes
of blue gill. The plastic bobber floating

on the surface like a silent doorbell. A whole world
of cause and effect, framed day-by-day and week-by-week.
The passage of time as a kind of game in which

I transferred numbers from the newspaper
to the calendar. The body counts and their categories
of NVRA, Marines, Montagnards.

And each morning I put a bold X through the previous
day not to erase or forget it but to connect
the corners, make four triangles of the square.

And it was rare if not impossible to catch
the blue gill that swam and swam around
the tidy pebble craters of their nests,

or coax them out except in hostile swerves
and feints toward the bait that hung
like a balloon of gravity over their homes,

a suspicious egg pouch or cocoon, something
a storm might have dislodged from the bank
and blown like a feared gift into the water,

a thing swallowed whole then run with
until the line played out and the hook set fast."
592,VII Mon. September [1742] hath xxx days.,Benjamin Franklin,"The Reverse

Studious of Ease, and fond of humble Things, 
Below the Smiles, below the Frowns of Kings: 
Thanks to my Stars, I prize the Sweets of Life, 
No sleepless Nights I count, no Days of Strife. 
I rest, I wake, I drink, I sometimes love, 
I read, I write, I settle, or I rove; 
Content to live, content to die unknown, 
Lord of myself, accountable to none."
